cod;nome;período;valor
11;RO;1979;21
12;AC;1979;2
13;AM;1979;19
14;RR;1979;2
15;PA;1979;55
16;AP;1979;2
17;TO;1979;0
21;MA;1979;15
22;PI;1979;15
23;CE;1979;51
24;RN;1979;24
25;PB;1979;32
26;PE;1979;103
27;AL;1979;47
28;SE;1979;16
29;BA;1979;73
31;MG;1979;436
32;ES;1979;39
33;RJ;1979;285
35;SP;1979;1048
41;PR;1979;375
42;SC;1979;114
43;RS;1979;523
50;MS;1979;39
51;MT;1979;9
52;GO;1979;121
53;DF;1979;24
11;RO;1980;20
12;AC;1980;5
13;AM;1980;31
14;RR;1980;4
15;PA;1980;68
16;AP;1980;1
17;TO;1980;0
21;MA;1980;18
22;PI;1980;17
23;CE;1980;76
24;RN;1980;39
25;PB;1980;56
26;PE;1980;98
27;AL;1980;43
28;SE;1980;12
29;BA;1980;82
31;MG;1980;462
32;ES;1980;56
33;RJ;1980;279
35;SP;1980;1149
41;PR;1980;371
42;SC;1980;145
43;RS;1980;642
50;MS;1980;78
51;MT;1980;6
52;GO;1980;124
53;DF;1980;14
28;SE;1981;17
53;DF;1981;30
52;GO;1981;137
51;MT;1981;13
50;MS;1981;53
43;RS;1981;637
42;SC;1981;172
41;PR;1981;398
35;SP;1981;1188
33;RJ;1981;203
32;ES;1981;65
31;MG;1981;535
29;BA;1981;72
27;AL;1981;48
26;PE;1981;117
25;PB;1981;80
24;RN;1981;40
23;CE;1981;104
22;PI;1981;14
21;MA;1981;18
17;TO;1981;0
16;AP;1981;4
15;PA;1981;71
14;RR;1981;3
13;AM;1981;17
12;AC;1981;4
11;RO;1981;21
12;AC;1982;7
13;AM;1982;24
14;RR;1982;2
15;PA;1982;69
16;AP;1982;6
17;TO;1982;0
21;MA;1982;11
22;PI;1982;32
23;CE;1982;92
24;RN;1982;52
25;PB;1982;71
26;PE;1982;91
27;AL;1982;31
11;RO;1982;15
28;SE;1982;18
29;BA;1982;118
31;MG;1982;417
32;ES;1982;46
33;RJ;1982;194
35;SP;1982;1153
41;PR;1982;413
42;SC;1982;177
43;RS;1982;637
50;MS;1982;59
51;MT;1982;8
52;GO;1982;138
53;DF;1982;36
52;GO;1983;157
11;RO;1983;25
12;AC;1983;2
13;AM;1983;37
14;RR;1983;1
15;PA;1983;82
16;AP;1983;11
17;TO;1983;0
21;MA;1983;27
22;PI;1983;27
23;CE;1983;93
24;RN;1983;53
25;PB;1983;57
26;PE;1983;107
27;AL;1983;49
28;SE;1983;17
29;BA;1983;75
31;MG;1983;482
32;ES;1983;54
33;RJ;1983;283
35;SP;1983;1353
41;PR;1983;451
42;SC;1983;247
43;RS;1983;793
50;MS;1983;59
51;MT;1983;20
53;DF;1983;24
42;SC;1984;231
11;RO;1984;31
12;AC;1984;7
13;AM;1984;25
14;RR;1984;4
15;PA;1984;55
16;AP;1984;9
17;TO;1984;0
21;MA;1984;26
22;PI;1984;19
23;CE;1984;76
24;RN;1984;43
25;PB;1984;59
26;PE;1984;106
27;AL;1984;36
28;SE;1984;12
29;BA;1984;105
31;MG;1984;475
32;ES;1984;47
33;RJ;1984;283
35;SP;1984;1273
41;PR;1984;470
43;RS;1984;776
50;MS;1984;62
51;MT;1984;31
52;GO;1984;149
53;DF;1984;23
33;RJ;1985;222
41;PR;1985;443
42;SC;1985;191
43;RS;1985;774
50;MS;1985;62
51;MT;1985;41
52;GO;1985;138
53;DF;1985;33
35;SP;1985;1217
11;RO;1985;31
12;AC;1985;6
13;AM;1985;32
14;RR;1985;1
15;PA;1985;62
16;AP;1985;5
17;TO;1985;0
21;MA;1985;27
22;PI;1985;30
23;CE;1985;87
24;RN;1985;49
25;PB;1985;62
26;PE;1985;103
27;AL;1985;44
28;SE;1985;5
29;BA;1985;82
31;MG;1985;450
32;ES;1985;58
14;RR;1986;0
53;DF;1986;26
52;GO;1986;133
51;MT;1986;57
50;MS;1986;55
43;RS;1986;757
42;SC;1986;185
41;PR;1986;471
35;SP;1986;1244
32;ES;1986;67
31;MG;1986;465
29;BA;1986;82
28;SE;1986;8
27;AL;1986;49
33;RJ;1986;218
26;PE;1986;90
25;PB;1986;75
24;RN;1986;31
23;CE;1986;80
22;PI;1986;35
21;MA;1986;32
17;TO;1986;0
16;AP;1986;7
15;PA;1986;79
13;AM;1986;30
12;AC;1986;5
11;RO;1986;31
33;RJ;1987;305
51;MT;1987;45
52;GO;1987;196
53;DF;1987;47
41;PR;1987;436
42;SC;1987;207
43;RS;1987;729
50;MS;1987;77
35;SP;1987;1371
11;RO;1987;41
12;AC;1987;7
13;AM;1987;37
14;RR;1987;4
15;PA;1987;98
16;AP;1987;6
17;TO;1987;0
21;MA;1987;38
22;PI;1987;29
23;CE;1987;70
24;RN;1987;37
25;PB;1987;85
26;PE;1987;98
27;AL;1987;51
28;SE;1987;17
29;BA;1987;110
31;MG;1987;483
32;ES;1987;77
11;RO;1988;33
53;DF;1988;56
52;GO;1988;195
51;MT;1988;48
50;MS;1988;50
43;RS;1988;742
42;SC;1988;272
41;PR;1988;421
35;SP;1988;1191
33;RJ;1988;262
32;ES;1988;87
31;MG;1988;415
29;BA;1988;116
28;SE;1988;7
27;AL;1988;42
26;PE;1988;100
25;PB;1988;71
24;RN;1988;83
23;CE;1988;75
22;PI;1988;28
21;MA;1988;38
17;TO;1988;0
16;AP;1988;7
15;PA;1988;87
14;RR;1988;6
13;AM;1988;47
12;AC;1988;13
24;RN;1989;59
25;PB;1989;60
26;PE;1989;97
27;AL;1989;41
28;SE;1989;7
29;BA;1989;111
31;MG;1989;450
32;ES;1989;75
33;RJ;1989;254
35;SP;1989;1192
41;PR;1989;432
42;SC;1989;264
43;RS;1989;715
50;MS;1989;79
51;MT;1989;51
52;GO;1989;154
53;DF;1989;65
11;RO;1989;47
12;AC;1989;17
13;AM;1989;35
14;RR;1989;5
15;PA;1989;89
16;AP;1989;7
17;TO;1989;20
21;MA;1989;32
22;PI;1989;33
23;CE;1989;100
23;CE;1990;111
25;PB;1990;85
26;PE;1990;189
27;AL;1990;35
28;SE;1990;11
29;BA;1990;93
31;MG;1990;482
32;ES;1990;85
33;RJ;1990;297
53;DF;1990;73
52;GO;1990;104
51;MT;1990;46
50;MS;1990;81
43;RS;1990;703
42;SC;1990;327
41;PR;1990;459
35;SP;1990;1345
11;RO;1990;50
12;AC;1990;13
13;AM;1990;28
14;RR;1990;4
15;PA;1990;88
16;AP;1990;4
17;TO;1990;9
21;MA;1990;30
22;PI;1990;28
24;RN;1990;65
32;ES;1991;101
35;SP;1991;1383
41;PR;1991;468
42;SC;1991;336
43;RS;1991;793
